DESCRICAO_CARGO-ID,DESCRICAO_CARGO
0,ADMINISTRADOR
1,ALMOXARIFE
2,ANALISTA DE TEC DA INFORMACAO
3,ARMAZENISTA
4,ARQUITETO
5,ARQUITETO E URBANISTA
6,ARQUIVISTA
7,ASSISTENTE DE LABORATORIO
8,ASSISTENTE EM ADMINISTRACAO
9,ASSISTENTE SOCIAL
10,ASSISTENTE TEC DE EMBARCACOES
11,ATENDENTE DE CONSULTORIO-AREA
12,ATENDENTE DE ENFERMAGEM
13,AUDITOR
14,AUX DE IND E CONSERV DE ALIMENTOS
15,AUX EM ADMINISTRACAO
16,AUXILIAR DE AGROPECUARIA
17,AUXILIAR DE ANATOMIA E NECROPSIA
18,AUXILIAR DE ARTES GRAFICAS
19,AUXILIAR DE COZINHA
20,AUXILIAR DE ELETRICISTA
21,AUXILIAR DE ENCANADOR
22,AUXILIAR DE ENFERMAGEM
23,AUXILIAR DE LABORATORIO
24,AUXILIAR DE NUTRICAO E DIETETICA
25,AUXILIAR DE SAUDE
26,BARBEIRO
27,BIBLIOTECARIO-DOCUMENTALISTA
28,BIOLOGO
29,BOMBEIRO HIDRAULICO
30,CARPINTEIRO
31,COMANDANTE DE LANCHA
32,CONTADOR
33,CONTINUO
34,CONTRAMESTRE-OFICIO
35,COPEIRO
36,COSTUREIRO
37,COZINHEIRO
38,DESENHISTA TECNICO ESPECIALIZADO
39,DESENHISTA-PROJETISTA
40,DIAGRAMADOR
41,DIRETOR DE PROGRAMA
42,ECONOMISTA
43,ECONOMISTA DOMESTICO
44,EDITOR DE PUBLICACOES
45,ELETRICISTA
46,ELETRICISTA DE ESPETACULO
47,ENCADERNADOR
48,ENFERMEIRO-AREA
49,ENGENHEIRO AGRONOMO
50,ENGENHEIRO DE SEG DO TRABALHO
51,ENGENHEIRO-AREA
52,ESTATISTICO
53,FARMACEUTICO
54,FARMACEUTICO BIOQUIMICO
55,FARMACEUTICO-HABILITACAO
56,FISIOTERAPEUTA
57,FONOAUDIOLOGO
58,FOTOGRAFO
59,FOTOGRAVADOR
60,GEOGRAFO
61,GEOLOGO
62,HISTORIADOR
63,IMPRESSOR
64,INSTRUMENTADOR CIRURGICO
65,Inválido
66,JARDINEIRO
67,JORNALISTA
68,LINOTIPISTA
69,LOCUTOR
70,MARCENEIRO
71,MATEMATICO
72,MECANICO
73,MECANICO APOIO MARITMO
74,MECANICO DE MONTAGEM E MANUTENCAO
75,MEDICO VETERINARIO
76,MEDICO-AREA
77,MESTRE DE EDIF E INFRAESTRUTURA
78,MONTADOR-SOLDADOR
79,MOTORISTA
80,MUSEOLOGO
81,NUTRICIONISTA-HABILITACAO
82,ODONTOLOGO - 30 HORAS - DL 1445-76
83,ODONTOLOGO - 40 HORAS
84,OPERADOR DE CALDEIRA
85,OPERADOR DE CAMERA DE CINEMA E TV
86,OPERADOR DE EST DE TRATAM AGUA-ESGOTO
87,OPERADOR DE MAQ AGRICOLAS
88,OPERADOR DE MAQ DE LAVANDERIA
89,OPERADOR DE MAQUINA COPIADORA
90,OPERADOR DE RADIO TELECOMUNICACOES
91,PEDAGOGO-AREA
92,PEDREIRO
93,PINTOR-AREA
94,PORTEIRO
95,PRODUTOR CULTURAL
