ORG_EXERCICIO-ID,ORG_EXERCICIO
0,ASSEMBLEIA LEGISLATIVA - CE
1,BANCO DO NORDESTE DO BRASIL
2,COMANDO DA AERONAUTICA
3,COMANDO DO EXERCITO
4,CONTROLADORIA-GERAL DA UNIAO
5,DEFENSORIA PUBLICA DA UNIAO
6,EMPRESA BRAS. DE SERVICOS HOSPITALARES
7,ESTADOS / MUNICIPIOS / EMPRESAS
8,ESTADOS/MUNICIPIOS/ADM.DIR-AUT/FUNDACOES
9,FUNDACAO CULTURAL PALMARES
10,FUNDACAO OSWALDO CRUZ
11,FUNDACAO UNIVERSIDADE DE BRASILIA
12,FUNDACAO UNIVERSIDADE FEDERAL DE SERGIPE
13,FUNDO NACIONAL DE DESENVOLV. DA EDUCACAO
14,GOVERNO DO ESTADO DO CEARA
15,INSTITUTO DO PATR.HIST.E ART. NACIONAL
16,INSTITUTO FEDERAL DE SANTA CATARINA
17,INSTITUTO FEDERAL DE SAO PAULO
18,INSTITUTO FEDERAL DO CEARA
19,INSTITUTO FEDERAL DO MARANHAO
20,MINISTERIO DA CULTURA
21,MINISTERIO DA DEFESA
22,MINISTERIO DA EDUCACAO
23,MINISTERIO DA JUSTICA
24,MINISTERIO DA SAUDE
25,MINISTERIO DA TRANSP. FISCAL. E CGU
26,MINISTERIO DAS COMUNICACOES
27,MINISTERIO DE PESCA E AQUICULTURA
28,MINISTERIO DO ESPORTE
29,PREFEITURA MUNICIPAL
30,PREFEITURA MUNICIPAL DE FORTALEZA / CE
31,TRIBUNAL DE JUSTICA
32,TRIBUNAL REGIONAL DO TRABALHO
33,TRIBUNAL REGIONAL ELEITORAL - CE
34,TRIBUNAL REGIONAL FEDERAL
35,UN. INT.INTERN. LUSOFONIA AFROBRASILEIRA
36,UNIV. FEDERAL DE MATO GROSSO DO SUL
37,UNIVERS. TECNOLOGICA FEDERAL DO PARANA
38,UNIVERSIDADE FED. DO RIO GRANDE DO SUL
39,UNIVERSIDADE FEDERAL DA BAHIA
40,UNIVERSIDADE FEDERAL DE GOIAS
41,UNIVERSIDADE FEDERAL DE MINAS GERAIS
42,UNIVERSIDADE FEDERAL DE SANTA CATARINA
43,UNIVERSIDADE FEDERAL DE SAO PAULO
44,UNIVERSIDADE FEDERAL DO CARIRI
45,UNIVERSIDADE FEDERAL DO CEARA
46,UNIVERSIDADE FEDERAL DO ESPIRITO SANTO
47,UNIVERSIDADE FEDERAL DO RIO DE JANEIRO
48,UNIVERSIDADE FEDERAL FLUMINENSE
